web-scraper-order,web-scraper-start-url,text
"1744268189-1","https://www.plonkit.net/united-states","The US uses American English spelling (e.g. center, color).In addition, the US primarily uses the imperial system for measurements. For example, speed and distance are measured in miles. You will also often see feet and inches on signs, indicating the height of bridges.NOTE: This is useful to distinguish between the English-speaking parts of Canada, where British English spelling and (usually) the metric system are used. For example, Canada measures speed in kilometres."
"1744268189-2","https://www.plonkit.net/united-states","The US uses American English spelling (e.g. center, color)."
"1744268189-3","https://www.plonkit.net/united-states","Generation 2 coverage is rare in the US. If you have a Generation 2 location in a North American setting, you are more likely to be in Canada.The exception to this is Alaska, and to a lesser extent Hawaii, which have a fair amount of Generation 2. You can also rarely see generation 2 in rural areas of the deep south."
"1744268189-4","https://www.plonkit.net/united-states","Generation 2 coverage is rare in the US. If you have a Generation 2 location in a North American setting, you are more likely to be in Canada."
"1744268189-5","https://www.plonkit.net/united-states","Road signs in the US tend to use more words compared to their Canadian counterparts. A good example are railway crossing signs, which feature the literal words ‘railway crossing’ on them. In Canada, these signs are typically blank.This tendency is also noticeable on yellow diamond warning signs. In Canada, the words will usually be on a rectangular sign below the yellow diamond, which would have a diagram on it instead."
"1744268189-6","https://www.plonkit.net/united-states","Road signs in the US tend to use more words compared to their Canadian counterparts. A good example are railway crossing signs, which feature the literal words ‘railway crossing’ on them. In Canada, these signs are typically blank."
"1744268189-7","https://www.plonkit.net/united-states","The US uses the phrase ‘Speed Limit’ on their speed signs.The numbers on American speed signs are usually lower than that of Canada’s, since they use miles instead of kilometres. In addition, speed limits ending in 5 are more common in the US.NOTE: Canada uses the word ‘Maximum’ on their speed signs."
"1744268189-8","https://www.plonkit.net/united-states","The US uses the phrase ‘Speed Limit’ on their speed signs."
"1744268189-9","https://www.plonkit.net/united-states","Triangular yellow signs with the phrase ‘No Passing Zone’ are exclusive to the US."
"1744268189-10","https://www.plonkit.net/united-states","Triangular yellow signs with the phrase ‘No Passing Zone’ are exclusive to the US."
"1744268189-11","https://www.plonkit.net/united-states","American yield signs are shaped like an upside down triangle with a red border, with a white field with the word ‘YIELD’.NOTE: Canadian yield signs look similar, but lack the ‘YIELD’ text."
"1744268189-12","https://www.plonkit.net/united-states","American yield signs are shaped like an upside down triangle with a red border, with a white field with the word ‘YIELD’."
"1744268189-13","https://www.plonkit.net/united-states",":"
"1744268189-14","https://www.plonkit.net/united-states","American one-way signs are usually a horizontal black rectangle with a white arrow inside of it. These signs will also always have the words ‘ONE WAY’ printed on them. In cities, they are a white vertical rectangle with the words ‘ONE WAY’ on them and an arrow underneath.NOTE: Canadian one-way signs are of the same shape and colour, but might not have the words ‘ONE WAY’ on them."
"1744268189-15","https://www.plonkit.net/united-states","American one-way signs are usually a horizontal black rectangle with a white arrow inside of it. These signs will also always have the words ‘ONE WAY’ printed on them. In cities, they are a white vertical rectangle with the words ‘ONE WAY’ on them and an arrow underneath."
"1744268189-16","https://www.plonkit.net/united-states",":"
"1744268189-17","https://www.plonkit.net/united-states","Parking indicator signs in the US are typically white metal signs with red, green, or black text. They may include specific information about when you can park on said road, and arrows indicating where parking is (or is not) allowed.NOTE: Canadian parking signs use similar styles and colours, but typically are less ‘wordy,’ instead using more symbols when applicable."
"1744268189-18","https://www.plonkit.net/united-states","Parking indicator signs in the US are typically white metal signs with red, green, or black text. They may include specific information about when you can park on said road, and arrows indicating where parking is (or is not) allowed."
"1744268189-19","https://www.plonkit.net/united-states",":"
"1744268189-20","https://www.plonkit.net/united-states","Large highways in the US use large, rectangular, green metal signs with curved edges and white text to mark highway exits, distances to nearby towns, and the names of upcoming roads (mainly in cities). NOTE: Canadian highway signs have a similar appearance, but will typically have squared edges, instead of curved edges."
"1744268189-21","https://www.plonkit.net/united-states","Large highways in the US use large, rectangular, green metal signs with curved edges and white text to mark highway exits, distances to nearby towns, and the names of upcoming roads (mainly in cities)."
"1744268189-22","https://www.plonkit.net/united-states",":"
"1744268189-23","https://www.plonkit.net/united-states","Leading up to exits on large highways you commonly see large, blue rectangular signs with white text, highlighting services, such as food, lodging and petrol, that are available at the upcoming highway exit.NOTE: Canada uses similar signs on some of their highways."
"1744268189-24","https://www.plonkit.net/united-states","Leading up to exits on large highways you commonly see large, blue rectangular signs with white text, highlighting services, such as food, lodging and petrol, that are available at the upcoming highway exit."
"1744268189-25","https://www.plonkit.net/united-states",": Canada uses"
"1744268189-26","https://www.plonkit.net/united-states","These rectangular junction signs with a single or double arrow are found in the US.NOTE: Canada uses diamond-shaped junction signs."
"1744268189-27","https://www.plonkit.net/united-states","These rectangular junction signs with a single or double arrow are found in the US."
"1744268189-28","https://www.plonkit.net/united-states",":"
"1744268189-29","https://www.plonkit.net/united-states","White and orange fibre optic cable markers are almost unique to the US.NOTE: On very rare occasions, they can be found in Canada."
"1744268189-30","https://www.plonkit.net/united-states","White and orange fibre optic cable markers are almost unique to the US."
"1744268189-31","https://www.plonkit.net/united-states",": On very rare occasions, they can be found in Canada."
"1744268189-32","https://www.plonkit.net/united-states","This is an example of the most common type of orange construction barrel in the United States. They are made out of orange plastic with horizontal white stripes and a black rubber base. They are usually used to block off lanes to traffic during times of road construction."
